User Input,Correct FAQ,Actual FAQ returned (Top result),Correct FAQ in top 3,Top 3 returned FAQ with Confidence Scores,Associated URL
I have been a victim of fraud,I think I've been a victim of fraud,How do I cancel my Secure Net subscription? ,N,"{'How do I cancel my Secure Net subscription? ': 0.02542, 'How do I stop nuisance calls or spam texts? ': 0.02346, 'Is it Vodafone calling? ': 0.0234}",https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
Someone's using my details fraudulently to set up a vodafone account,I think I've been a victim of fraud,I think I've been a victim of fraud ,Y,"{""I think I've been a victim of fraud "": 0.03578, 'Is it Vodafone calling? ': 0.01593, 'How do I stop nuisance calls or spam texts? ': 0.01591}",https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
Talk to someone about fraud on my account,I think I've been a victim of fraud,I think I've been a victim of fraud ,Y,"{""I think I've been a victim of fraud "": 0.03533, ""Where's my nearest store?  "": 0.01537, 'How do I cancel my Secure Net subscription? ': 0.01442}",https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
How do I contact your fraud department ,I think I've been a victim of fraud,I think I've been a victim of fraud ,Y,"{""I think I've been a victim of fraud "": 0.0344, 'Can I collect my order from a Vodafone store? ': 0.01636, 'How do I cancel my Secure Net subscription? ': 0.01529}",https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
Can someone check if there's been fraud on my account,I think I've been a victim of fraud,I think I've been a victim of fraud ,Y,"{""I think I've been a victim of fraud "": 0.0438, 'Can I collect my order from a Vodafone store? ': 0.01972, ""What's my phone number? "": 0.0184}",https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
My account has been flagged for fraud,I think I've been a victim of fraud,I think I've been a victim of fraud ,Y,"{""I think I've been a victim of fraud "": 0.02417, 'Is it Vodafone calling? ': 0.01403, 'How do I cancel my Secure Net subscription? ': 0.01385}",https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
How do I report fraud,I think I've been a victim of fraud,I think I've been a victim of fraud ,Y,"{""I think I've been a victim of fraud "": 0.05651, 'How do I get proof of purchase? ': 0.02361, 'How do I cancel my Secure Net subscription? ': 0.01789}",https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
I need to report fraudulent activity on my account,I think I've been a victim of fraud,I think I've been a victim of fraud ,Y,"{""I think I've been a victim of fraud "": 0.01912, 'Is it Vodafone calling? ': 0.01245, 'How do I stop nuisance calls or spam texts? ': 0.01215}",https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
"Can you connect me to a someone to help me, my account was flagged for fraud",I think I've been a victim of fraud,I think I've been a victim of fraud ,Y,"{""I think I've been a victim of fraud "": 0.02514, ""What's my phone number? "": 0.01575, 'I’m having issues connecting my Super WiFi Booster ': 0.01297}",https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
Suspected hacking or fraud on my account,I think I've been a victim of fraud,I think I've been a victim of fraud ,Y,"{""I think I've been a victim of fraud "": 0.02111, 'Is it Vodafone calling? ': 0.01952, 'How do I cancel my Secure Net subscription? ': 0.01544}",https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
I think I may have been frauded,I think I've been a victim of fraud,How do I cancel my Secure Net subscription? ,N,"{'How do I cancel my Secure Net subscription? ': 0.02839, 'Is it Vodafone calling? ': 0.02806, 'How do I stop nuisance calls or spam texts? ': 0.02733}",https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
Can you give me the number for your fraud team,I think I've been a victim of fraud,I think I've been a victim of fraud ,Y,"{""I think I've been a victim of fraud "": 0.01647, 'I want to cancel the insurance for my device ': 0.01387, 'How do I cancel my Secure Net subscription? ': 0.01209}",https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
Please check my account for signs of fraud,I think I've been a victim of fraud,Is it Vodafone calling? ,Y,"{'Is it Vodafone calling? ': 0.01717, ""I think I've been a victim of fraud "": 0.01699, 'Can I collect my order from a Vodafone store? ': 0.01501}",https://support.vodafone.co.uk/Account/Security-privacy/1456918702/I-think-I-ve-been-a-victim-of-fraud.htm
How much does a repair cost,How much will it cost to repair my device?,How can I track my repair? ,N,"{'How can I track my repair? ': 0.02364, 'I want to cancel the insurance for my device ': 0.01775, 'I have a question about my insurance ': 0.01507}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
Can you tell me how much it will cost to repair my phone,How much will it cost to repair my device?,How much will it cost to repair my device? ,Y,"{'How much will it cost to repair my device? ': 0.02802, 'I have a question about my insurance ': 0.02108, 'How can I track my repair? ': 0.02093}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
What's the cost of repairing a device,How much will it cost to repair my device?,How can I track my repair? ,Y,"{'How can I track my repair? ': 0.02434, 'I want to cancel the insurance for my device ': 0.01931, 'How much will it cost to repair my device? ': 0.01928}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
How much can I expect to pay to repair my device,How much will it cost to repair my device?,How much will it cost to repair my device? ,Y,"{'How much will it cost to repair my device? ': 0.04768, 'How can I track my repair? ': 0.01896, 'I want to cancel the insurance for my device ': 0.01531}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
I need to send my phone for repair how much will it cost,How much will it cost to repair my device?,How much will it cost to repair my device? ,Y,"{'How much will it cost to repair my device? ': 0.13835, 'I want to cancel the insurance for my device ': 0.01932, 'I have a question about my insurance ': 0.01932}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
How much will it cost to repair my phone,How much will it cost to repair my device?,How much will it cost to repair my device? ,Y,"{'How much will it cost to repair my device? ': 0.02741, 'I have a question about my insurance ': 0.02042, 'How can I track my repair? ': 0.0203}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
If I send my phone for repair how much will it cost,How much will it cost to repair my device?,I’m having problems with my phone battery ,Y,"{'I’m having problems with my phone battery ': 0.02346, 'How much will it cost to repair my device? ': 0.02318, 'I want to cancel the insurance for my device ': 0.01791}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
What are the charges for repairing a phone,How much will it cost to repair my device?,I’m having problems with my phone battery ,Y,"{'I’m having problems with my phone battery ': 0.01803, 'How do I set up conference calling? ': 0.01793, 'How much will it cost to repair my device? ': 0.01558}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
Charges for sending my phone for repair,How much will it cost to repair my device?,I’m having problems with my phone battery ,N,"{'I’m having problems with my phone battery ': 0.03306, 'How do I make a claim on my insurance? ': 0.0211, 'I have a question about my insurance ': 0.02091}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
Can you check how much I'll pay to repair my phone,How much will it cost to repair my device?,How much will it cost to repair my device? ,Y,"{'How much will it cost to repair my device? ': 0.0526, 'Where can I call with Vodafone International? ': 0.02476, 'How can I track my repair? ': 0.0182}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
Checking the charges for repairing a device,How much will it cost to repair my device?,I’m having problems with my phone battery ,Y,"{'I’m having problems with my phone battery ': 0.0272, 'How much will it cost to repair my device? ': 0.02393, 'Where can I call with Vodafone International? ': 0.02269}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
Do you charge me to send my phone off for repair ,How much will it cost to repair my device?,I’m having problems with my phone battery ,Y,"{'I’m having problems with my phone battery ': 0.02605, 'How much will it cost to repair my device? ': 0.02014, 'How do I make a claim on my insurance? ': 0.01848}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
I want to know how much you're going to charge me to repair my device,How much will it cost to repair my device?,How much will it cost to repair my device? ,Y,"{'How much will it cost to repair my device? ': 0.0618, 'How can I track my repair? ': 0.01724, 'I want to cancel the insurance for my device ': 0.01614}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
How much will you be adding to my bill to repair my phone,How much will it cost to repair my device?,How much will it cost to repair my device? ,Y,"{'How much will it cost to repair my device? ': 0.11175, 'How can I track my repair? ': 0.01118, 'I have a question about my insurance ': 0.01105}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
What's the cost of sending my phone off for repair,How much will it cost to repair my device?,I’m having problems with my phone battery ,Y,"{'I’m having problems with my phone battery ': 0.02233, 'How much will it cost to repair my device? ': 0.01508, 'I want to cancel the insurance for my device ': 0.01454}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464014552/How-much-will-it-cost-to-repair-my-device.htm
I have a question about my insurance,I have a question about my insurance,How can I track my repair? ,N,"{'How can I track my repair? ': 0.04579, 'How much will it cost to repair my device? ': 0.04386, 'I want to cancel the insurance for my device ': 0.0435}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
Who can help with questions about insurance,I have a question about my insurance,I have a question about my insurance ,Y,"{'I have a question about my insurance ': 0.02409, 'I want to find help or information about VOXI ': 0.02171, 'How can I track my repair? ': 0.0178}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
Can I please speak to someone to help with a question about insurance,I have a question about my insurance,I have a question about my insurance ,Y,"{'I have a question about my insurance ': 0.02405, 'How can I track my repair? ': 0.01492, 'How much will it cost to repair my device? ': 0.01434}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
Can you help with a question I have about my insurance,I have a question about my insurance,I have a question about my insurance ,Y,"{'I have a question about my insurance ': 0.04364, 'How can I track my repair? ': 0.04061, 'How much will it cost to repair my device? ': 0.03904}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
I need help with an insurance question,I have a question about my insurance,I have a question about my insurance ,Y,"{'I have a question about my insurance ': 0.03433, 'How much will it cost to repair my device? ': 0.03208, 'What happens to my Extras, insurance, benefits and discounts when I upgrade? ': 0.01912}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
I have a question I need help with about insurance,I have a question about my insurance,I have a question about my insurance ,Y,"{'I have a question about my insurance ': 0.03579, 'How much will it cost to repair my device? ': 0.03436, 'What happens to my Extras, insurance, benefits and discounts when I upgrade? ': 0.01894}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
Can you answer me a question about insurance,I have a question about my insurance,How can I track my repair? ,N,"{'How can I track my repair? ': 0.02767, 'How much will it cost to repair my device? ': 0.0267, 'I want to cancel the insurance for my device ': 0.02648}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
I need to ask some insurance related questions,I have a question about my insurance,I have a question about my insurance ,Y,"{'I have a question about my insurance ': 0.02941, 'How can I track my repair? ': 0.0266, 'How much will it cost to repair my device? ': 0.02559}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
Who can I ask for help with insurance questions,I have a question about my insurance,I think I've been a victim of fraud ,Y,"{""I think I've been a victim of fraud "": 0.02702, 'I have a question about my insurance ': 0.02527, 'I want to find help or information about VOXI ': 0.0236}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
Help with insurance questions,I have a question about my insurance,I have a question about my insurance ,Y,"{'I have a question about my insurance ': 0.03358, 'How can I track my repair? ': 0.02679, 'How much will it cost to repair my device? ': 0.02575}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
I have some questions about insurance,I have a question about my insurance,How can I track my repair? ,N,"{'How can I track my repair? ': 0.04168, 'How much will it cost to repair my device? ': 0.03992, 'I want to cancel the insurance for my device ': 0.03959}",https://support.vodafone.co.uk/Phones-devices/Warranty-insurance-repair/1464015252/I-have-a-question-about-my-insurance.htm
Has Vodafone called me,Is it Vodafone calling?,How does Vodafone OneNumber work across my devices? ,Y,"{'How does Vodafone OneNumber work across my devices? ': 0.0192, 'Where can I call with Vodafone International? ': 0.01745, 'Is it Vodafone calling? ': 0.01315}",https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
I need to check if it's vodafone who has been calling me ,Is it Vodafone calling?,How do I check my voicemail? ,Y,"{'How do I check my voicemail? ': 0.02981, 'Is it Vodafone calling? ': 0.02925, 'Where can I call with Vodafone International? ': 0.0198}",https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
How do I know if it's vodafone calling me ,Is it Vodafone calling?,What is 4G Calling (VoLTE)?  ,N,"{'What is 4G Calling (VoLTE)?  ': 0.02132, 'How do I make a claim on my insurance? ': 0.019, 'How do I hide my own telephone number when I make calls? ': 0.01886}",https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
Check if the number that called me was actually vodafone,Is it Vodafone calling?,Is it Vodafone calling? ,Y,"{'Is it Vodafone calling? ': 0.02484, ""What's my phone number? "": 0.02168, 'How do I check my voicemail? ': 0.01874}",https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
Did vodafone just call me?,Is it Vodafone calling?,How does Vodafone OneNumber work across my devices? ,Y,"{'How does Vodafone OneNumber work across my devices? ': 0.01951, 'Where can I call with Vodafone International? ': 0.01517, 'Is it Vodafone calling? ': 0.01427}",https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
Someone just called and said they're vodafone can you check it was you please,Is it Vodafone calling?,How do I check my voicemail? ,Y,"{'How do I check my voicemail? ': 0.01491, 'How do I manage call diverts? ': 0.01475, 'Is it Vodafone calling? ': 0.01354}",https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
How am I able to check for definite if it's vodafone calling,Is it Vodafone calling?,How do I check my Vodafone Broadband speed? ,N,"{'How do I check my Vodafone Broadband speed? ': 0.02775, 'How do I check my voicemail? ': 0.0256, 'What is 4G Calling (VoLTE)?  ': 0.02549}",https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
What numbers will show up if it's vodafone calling,Is it Vodafone calling?,How do I get my IMEI number? ,N,"{'How do I get my IMEI number? ': 0.04497, 'How does Vodafone OneNumber work across my devices? ': 0.04085, 'I want help with caller display on my Home phone ': 0.02346}",https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
How can I check if it was vodafone calling me,Is it Vodafone calling?,What's my phone number? ,Y,"{""What's my phone number? "": 0.05073, 'Is it Vodafone calling? ': 0.04075, 'How do I check my voicemail? ': 0.03643}",https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
Change my marketing preferences ,Is it Vodafone calling?,Is it Vodafone calling? ,Y,"{'Is it Vodafone calling? ': 0.07048, ""What's my phone number? "": 0.01385, 'What are my delivery options? ': 0.01264}",https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
I don't want vodafone to call me ,Is it Vodafone calling?,How does Vodafone OneNumber work across my devices? ,N,"{'How does Vodafone OneNumber work across my devices? ': 0.02129, 'How do I check my voicemail? ': 0.01567, 'How can I top up my phone or another number? ': 0.01494}",https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
Check my marketing preferences ,Is it Vodafone calling?,Is it Vodafone calling? ,Y,"{'Is it Vodafone calling? ': 0.0299, 'How do I check my Vodafone Broadband speed? ': 0.01524, 'How do I check my voicemail? ': 0.01514}",https://support.vodafone.co.uk/Account/Security-privacy/1447555442/Is-it-Vodafone-calling.htm
How do I set up a dual sim phone,How do I set up a Dual SIM phone?,How do I manage my dual-SIM phone? ,Y,"{'How do I manage my dual-SIM phone? ': 0.04624, 'How do I find my SIM number or EID? ': 0.03808, 'How do I set up a Dual SIM phone? ': 0.03749}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526154902/How-do-I-set-up-a-Dual-SIM-phone.htm
I want to set up dual sim on my phone,How do I set up a Dual SIM phone?,How do I set up a Dual SIM phone? ,Y,"{'How do I set up a Dual SIM phone? ': 0.03092, 'How do I find my SIM number or EID? ': 0.02723, 'I want to get an eSIM, but I can’t get a confirmation code to log in ': 0.02705}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526154902/How-do-I-set-up-a-Dual-SIM-phone.htm
Setting up a dual sim phone and I need help,How do I set up a Dual SIM phone?,How do I set up a Dual SIM phone? ,Y,"{'How do I set up a Dual SIM phone? ': 0.05126, 'How do I manage my dual-SIM phone? ': 0.04137, 'How do I find my SIM number or EID? ': 0.02085}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526154902/How-do-I-set-up-a-Dual-SIM-phone.htm
Please help me setting up dual sim on my new device,How do I set up a Dual SIM phone?,How do I set up a Dual SIM phone? ,Y,"{'How do I set up a Dual SIM phone? ': 0.02922, 'How do I manage my dual-SIM phone? ': 0.02749, 'I don’t have a SIM card, can I still move to eSIM? ': 0.01636}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526154902/How-do-I-set-up-a-Dual-SIM-phone.htm
Can you help me set up dual sim on this new phone,How do I set up a Dual SIM phone?,How do I manage my dual-SIM phone? ,N,"{'How do I manage my dual-SIM phone? ': 0.02493, 'I don’t have a SIM card, can I still move to eSIM? ': 0.02108, 'What happens if I delete my eSIM? ': 0.02043}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526154902/How-do-I-set-up-a-Dual-SIM-phone.htm
I have a duel sim phone and i'm unsure how to use it ,How do I set up a Dual SIM phone?,How do I set up a Dual SIM phone? ,Y,"{'How do I set up a Dual SIM phone? ': 0.02551, 'I don’t have a SIM card, can I still move to eSIM? ': 0.02358, 'What happens if I delete my eSIM? ': 0.02339}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526154902/How-do-I-set-up-a-Dual-SIM-phone.htm
Help me set up a dual sim phone,How do I set up a Dual SIM phone?,How do I set up a Dual SIM phone? ,Y,"{'How do I set up a Dual SIM phone? ': 0.04291, 'How do I manage my dual-SIM phone? ': 0.03542, 'How do I get my IMEI number? ': 0.02765}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526154902/How-do-I-set-up-a-Dual-SIM-phone.htm
Can someone please show me how I set up a dual sim phone,How do I set up a Dual SIM phone?,How do I manage my dual-SIM phone? ,N,"{'How do I manage my dual-SIM phone? ': 0.03522, 'How do I find my SIM number or EID? ': 0.03253, 'I don’t have a SIM card, can I still move to eSIM? ': 0.03018}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526154902/How-do-I-set-up-a-Dual-SIM-phone.htm
I'm having trouble setting up my dual sim phone,How do I set up a Dual SIM phone?,How do I manage my dual-SIM phone? ,N,"{'How do I manage my dual-SIM phone? ': 0.02746, 'How do I find my SIM number or EID? ': 0.02297, 'I don’t have a SIM card, can I still move to eSIM? ': 0.02261}",https://support.vodafone.co.uk/SIM-eSIM/eSIM/1526154902/How-do-I-set-up-a-Dual-SIM-phone.htm
How do I check my voicemail,How do I check my voicemail?,How do I check my voicemail? ,Y,"{'How do I check my voicemail? ': 0.08584, 'Can I recover a deleted voicemail? ': 0.07115, 'Can I get Visual Voicemail? ': 0.04198}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047822/How-do-I-check-my-voicemail.htm
What number do I dial to check my voicemail,How do I check my voicemail?,How do I get my IMEI number? ,Y,"{'How do I get my IMEI number? ': 0.11583, 'How do I check my voicemail? ': 0.11518, 'How do I change the length of time before a call goes to voicemail? ': 0.05597}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047822/How-do-I-check-my-voicemail.htm
Can you tell me how to check my voicemail,How do I check my voicemail?,How do I check my voicemail? ,Y,"{'How do I check my voicemail? ': 0.05047, 'Can I recover a deleted voicemail? ': 0.0476, 'Can I get Visual Voicemail? ': 0.04}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047822/How-do-I-check-my-voicemail.htm
How do I call my voicemail mailbox,How do I check my voicemail?,Can I get Visual Voicemail? ,Y,"{'Can I get Visual Voicemail? ': 0.05372, 'How do I check my voicemail? ': 0.04176, 'Can I recover a deleted voicemail? ': 0.02433}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047822/How-do-I-check-my-voicemail.htm
I need some help checking my voicemail please,How do I check my voicemail?,How do I check my voicemail? ,Y,"{'How do I check my voicemail? ': 0.03082, 'Can I recover a deleted voicemail? ': 0.02181, 'How do I change the length of time before a call goes to voicemail? ': 0.02155}",https://support.vodafone.co.uk/Phones-devices/Voicemail/1464047822/How-do-I-check-my-voicemail.htm
